# NeoMOM Impedance Sweep
# 2026-07-06, T10:55:32
# title       : 40 m center fed dipole — impedance sweep
# file        : Center_fed_40m_dipole_Zin.nml
# ground      : FREE_SPACE
# nports      : 1
# nfreq       : 201
# fstart_MHz  : 6.5000
# fstop_MHz   : 8.5000
# fstep_MHz   : .0100
# z0_ref_Ohm  : 50.0
#
# freq_MHz    Rin_Ohm    Xin_Ohm    Zin_Ohm    Gin_S      Bin_S      Yin_S      SWR
   7.68000       86.2793       93.5284       127.247      0.532862E-02 -0.577632E-02  0.785876E-02   4.08822    
   7.69000       86.6543       95.7575       129.145      0.519558E-02 -0.574139E-02  0.774323E-02   4.18763    
   7.70000       87.0312       97.9855       131.056      0.506714E-02 -0.570493E-02  0.763034E-02   4.28831    
   7.71000       87.4093       100.215       132.979      0.494302E-02 -0.566717E-02  0.751999E-02   4.39036    
   7.72000       87.7895       102.447       134.916      0.482299E-02 -0.562822E-02  0.741203E-02   4.49382    
   7.73000       88.1719       104.681       136.866      0.470694E-02 -0.558824E-02  0.730641E-02   4.59867    
   7.74000       88.5551       106.913       138.825      0.459493E-02 -0.554747E-02  0.720332E-02   4.70469    
   7.75000       88.9405       109.147       140.796      0.448662E-02 -0.550595E-02  0.710248E-02   4.81206    
   7.76000       89.3277       111.383       142.778      0.438192E-02 -0.546381E-02  0.700389E-02   4.92072    
   7.77000       89.7166       113.621       144.772      0.428061E-02 -0.542116E-02  0.690743E-02   5.03076    
   7.78000       90.1075       115.860       146.775      0.418272E-02 -0.537811E-02  0.681317E-02   5.14199    
   7.79000       90.4998       118.096       148.785      0.408817E-02 -0.533480E-02  0.672110E-02   5.25433    
   7.80000       90.8940       120.339       150.808      0.399654E-02 -0.529121E-02  0.663093E-02   5.36813    
   7.81000       91.2905       122.585       152.843      0.390780E-02 -0.524741E-02  0.654264E-02   5.48330    
   7.82000       91.6882       124.826       154.882      0.382220E-02 -0.520363E-02  0.645654E-02   5.59933    
   7.83000       92.3256       127.754       157.623      0.371606E-02 -0.514202E-02  0.634425E-02   5.74968    
   7.84000       92.7297       130.007       159.689      0.363639E-02 -0.509819E-02  0.626218E-02   5.86878    
   7.85000       93.1349       132.259       161.761      0.355932E-02 -0.505451E-02  0.618197E-02   5.98894    
   7.86000       93.5421       134.508       163.837      0.348483E-02 -0.501100E-02  0.610362E-02   6.11001    
   7.87000       93.9522       136.770       165.931      0.341235E-02 -0.496749E-02  0.602661E-02   6.23280    
   7.88000       94.3633       139.025       168.025      0.334239E-02 -0.492432E-02  0.595151E-02   6.35628    
   7.89000       94.7763       141.281       170.126      0.327459E-02 -0.488137E-02  0.587798E-02   6.48090    
   7.90000       95.1911       143.539       172.235      0.320888E-02 -0.483870E-02  0.580602E-02   6.60659    
   7.91000       95.6085       145.803       174.355      0.314506E-02 -0.479623E-02  0.573543E-02   6.73364    
   7.92000       96.0272       148.061       176.474      0.308341E-02 -0.475419E-02  0.566654E-02   6.86128    
   7.93000       96.4487       150.329       178.609      0.302336E-02 -0.471234E-02  0.559882E-02   6.99052    
   7.94000       96.8711       152.591       180.743      0.296533E-02 -0.467097E-02  0.553273E-02   7.12032    
   7.95000       97.2968       154.869       182.897      0.290863E-02 -0.462971E-02  0.546757E-02   7.25210    
   7.96000       97.7234       157.130       185.040      0.285409E-02 -0.458911E-02  0.540424E-02   7.38371    
   7.97000       98.1517       159.396       187.192      0.280106E-02 -0.454886E-02  0.534210E-02   7.51654    
   7.98000       98.5827       161.670       189.356      0.274942E-02 -0.450890E-02  0.528105E-02   7.65074    
   7.99000       99.0157       163.943       191.524      0.269935E-02 -0.446938E-02  0.522128E-02   7.78573    
   8.00000       99.4508       166.222       193.701      0.265060E-02 -0.443020E-02  0.516260E-02   7.92199    
   8.01000       99.8882       168.498       195.881      0.260334E-02 -0.439149E-02  0.510515E-02   8.05890    
   8.02000       100.328       170.784       198.073      0.255723E-02 -0.435308E-02  0.504864E-02   8.19732    
   8.03000       100.768       173.057       200.257      0.251273E-02 -0.431531E-02  0.499357E-02   8.33568    
   8.04000       101.212       175.339       202.454      0.246933E-02 -0.427786E-02  0.493940E-02   8.47539    
   8.05000       101.657       177.623       204.656      0.242711E-02 -0.424082E-02  0.488625E-02   8.61603    
